Date,Outcomes,Predominant function of establishment,Establishment,Adjudicator,Sex,Age group,Ethnicity,Religion,Offence,Detailed offence,Count
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,i No religion,Disobedience/disrespect,Disobeys any rule or regulation,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,30 - 39,e White,i No religion,Violence,Assault on any other person,1
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,40 - 49,e White,i No religion,Disobedience/disrespect,Disobeys any rule or regulation,2
Q3,Dismissed,Category A (High Security),Belmarsh,Governor,M,60 - 69,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Frankland,Governor,M,25 - 29,e White,a Christian,Wilful Damage,Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,i No religion,Wilful Damage,Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Frankland,Governor,M,40 - 49,c Mixed/ Multiple ethnic groups,a Christian,Wilful Damage,Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Frankland,Governor,M,50 - 59,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Frankland,Governor,M,50 - 59,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Frankland,Governor,M,50 - 59,e White,f Jewish,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,21 - 24,e White,i No religion,Violence,Assault on staff,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Other offences, Endangers health/safety of any person,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,i No religion,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,i No religion,Violence,Assault on a prisoner,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Other offences, Endangers health/safety of any person,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,e Buddhist,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,e Buddhist,Violence,Assault on staff,1
Q3,Dismissed,Category A (High Security),Full Sutton,Governor,M,50 - 59,e White,e Buddhist,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Full Sutton,Independent adjudicator,M,25 - 29,e White,i No religion,Violence,Assault on staff,1
Q3,Dismissed,Category A (High Security),Full Sutton,Independent adjudicator,M,30 - 39,e White,i No religion,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,18 - 20,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,2
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,e White,a Christian,Violence,Assault on a prisoner,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,e White,i No religion,Violence,Commits any assault,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,a Christian,Other offences,Absent from where he should be/Present where he should not,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,2
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,a Christian,Violence,Assault on a prisoner,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,a Christian,Violence,Assault on staff,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,e Buddhist,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,i No religion,Violence,Assault on a prisoner,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,d Other ethnic group,b Muslim,Other offences,Obstructs an officer executing his duty,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,3
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Violence,Fights with any person,2
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Wilful Damage,Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,f Jewish,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,i No religion,Violence,Assault on staff,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,i No religion,Wilful Damage,Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,40 - 49,e White,e Buddhist,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,40 - 49,e White,g Other religious groups,Other offences, Endangers health/safety of any person,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,40 - 49,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Manchester,Governor,M,40 - 49,e White,i No religion,Violence,Assault on a prisoner,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,21 - 24,e White,a Christian,Violence,Assault on staff,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,21 - 24,e White,e Buddhist,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,21 - 24,e White,i No religion,Disobedience/disrespect,Disobeys any rule or regulation,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,21 - 24,e White,i No religion,Wilful Damage,Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Other offences,Absent from where he should be/Present where he should not,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Other offences,Absent from where he should be/Present where he should not,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on a prisoner,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Disobedience/disrespect,Disobeys any rule or regulation,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,b Muslim,Other offences,Absent from where he should be/Present where he should not,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,b Muslim,Unauthorised transactions,Possession of unauthorised articles,2
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,e Buddhist,Violence,Assault on staff,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Wilful Damage,Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,g Other religious groups,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Wilful Damage,Attempts: Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,d Other ethnic group,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,a Christian,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,g Other religious groups,Violence,Attempts: Commits any assault,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,g Other religious groups,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,i No religion,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,i No religion,Wilful Damage,Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,a Asian or Asian British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,a Asian or Asian British,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,c Mixed/ Multiple ethnic groups,f Jewish,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,Disobeys any rule or regulation,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Violence,Assault on a prisoner,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,i No religion,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,50 - 59,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,50 - 59,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,2
Q3,Dismissed,Category A (High Security),Wakefield,Governor,M,60 - 69,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Wakefield,Independent adjudicator,M,40 - 49,e White,i No religion,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Whitemoor,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Whitemoor,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Whitemoor,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,Disobeys any rule or regulation,1
Q3,Dismissed,Category A (High Security),Whitemoor,Governor,M,50 - 59,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,a Asian or Asian British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,b Muslim,Violence,Assault on a prisoner,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,d Other ethnic group,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,d Other ethnic group,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,e White,e Buddhist,Violence,Assault on staff,2
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Violence,Assault on staff,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,3
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,e White,g Other religious groups,Other offences, Endangers health/safety of any person,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,e White,i No religion,Violence,Assault on staff,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,e White,i No religion,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Other offences,Obstructs an officer executing his duty,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,Disobeys any rule or regulation,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,2
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Violence,Assault on staff,2
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Violence,Attempts: Assault on staff,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Violence,Fights with any person,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Wilful Damage,Cause damage to any part of a prison,2
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,40 - 49,a Asian or Asian British,b Muslim,Wilful Damage,Cause damage to any part of a prison,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,40 - 49,e White,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Woodhill,Governor,M,50 - 59,e White,e Buddhist,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category A (High Security),Woodhill,Missing,M,30 - 39,e White,a Christian,Violence,Assault on staff,1
Q3,Dismissed,Category B,Dovegate,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Other offences, Endangers health/safety of any person,1
Q3,Dismissed,Category B,Dovegate,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category B,Dovegate,Governor,M,21 - 24,e White,i No religion,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category B,Dovegate,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Assault on a prisoner,1
Q3,Dismissed,Category B,Dovegate,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category B,Dovegate,Governor,M,25 - 29,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category B,Dovegate,Governor,M,25 - 29,e White,a Christian,Other offences,Absent from where he should be/Present where he should not,1
Q3,Dismissed,Category B,Dovegate,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category B,Dovegate,Governor,M,25 - 29,e White,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category B,Dovegate,Governor,M,25 - 29,e White,i No religion,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q3,Dismissed,Category B,Dovegate,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category B,Dovegate,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category B,Dovegate,Governor,M,25 - 29,e White,i No religion,Violence,Fights with any person,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,a Christian,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Drug related offence,6
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Violence,Assault on staff,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,b Muslim,Other offences,Absent from where he should be/Present where he should not,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,b Muslim,Unauthorised transactions,Takes improperly any article,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,i No religion,Disobedience/disrespect,Disobeys any lawful order,2
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,i No religion,Other offences,Obstructs an officer executing his duty,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,i No religion,Violence,Fights with any person,1
Q3,Dismissed,Category B,Dovegate,Governor,M,30 - 39,f Not known,a Christian,Unauthorised transactions,Drug related offence,1
Q3,Dismissed,Category B,Dovegate,Governor,M,40 - 49,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,2
Q3,Dismissed,Category B,Dovegate,Governor,M,40 - 49,b Black/ African/ Caribbean/ Black British,i No religion,Violence,Fights with any person,1
